ano,cod_UF_res,casos,abbrev_state,name_state,code_region,name_region
1995,12,1,AC,Acre,1,Norte
1995,13,87,AM,Amazonas,1,Norte
1995,14,8,RR,Roraima,1,Norte
1995,15,177,PA,Pará,1,Norte
1995,16,15,AP,Amapá,1,Norte
1995,17,21,TO,Tocantins,1,Norte
1995,21,144,MA,Maranhão,2,Nordeste
1995,22,76,PI,Piauí,2,Nordeste
1995,23,287,CE,Ceará,2,Nordeste
1995,24,72,RN,Rio Grande Do Norte,2,Nordeste
1995,25,117,PB,Paraíba,2,Nordeste
1995,26,393,PE,Pernambuco,2,Nordeste
1995,27,82,AL,Alagoas,2,Nordeste
1995,28,81,SE,Sergipe,2,Nordeste
1995,29,319,BA,Bahia,2,Nordeste
1995,31,1415,MG,Minas Gerais,3,Sudeste
1995,32,205,ES,Espirito Santo,3,Sudeste
1995,33,2781,RJ,Rio De Janeiro,3,Sudeste
1995,35,10255,SP,São Paulo,3,Sudeste
1995,41,845,PR,Paraná,4,Sul
1995,42,910,SC,Santa Catarina,4,Sul
1995,43,1360,RS,Rio Grande Do Sul,4,Sul
1995,50,209,MS,Mato Grosso Do Sul,5,Centro Oeste
1995,51,174,MT,Mato Grosso,5,Centro Oeste
1995,52,437,GO,Goiás,5,Centro Oeste
1995,53,268,DF,Distrito Federal,5,Centro Oeste
1996,11,52,RO,Rondônia,1,Norte
1996,12,6,AC,Acre,1,Norte
1996,13,113,AM,Amazonas,1,Norte
1996,14,18,RR,Roraima,1,Norte
1996,15,222,PA,Pará,1,Norte
1996,16,19,AP,Amapá,1,Norte
1996,17,25,TO,Tocantins,1,Norte
1996,21,188,MA,Maranhão,2,Nordeste
1996,22,76,PI,Piauí,2,Nordeste
1996,23,299,CE,Ceará,2,Nordeste
1996,24,103,RN,Rio Grande Do Norte,2,Nordeste
1996,25,122,PB,Paraíba,2,Nordeste
1996,26,553,PE,Pernambuco,2,Nordeste
1996,27,103,AL,Alagoas,2,Nordeste
1996,28,78,SE,Sergipe,2,Nordeste
1996,29,468,BA,Bahia,2,Nordeste
1996,31,1520,MG,Minas Gerais,3,Sudeste
1996,32,251,ES,Espirito Santo,3,Sudeste
1996,33,3417,RJ,Rio De Janeiro,3,Sudeste
1996,35,11070,SP,São Paulo,3,Sudeste
1996,41,1068,PR,Paraná,4,Sul
1996,42,1070,SC,Santa Catarina,4,Sul
1996,43,1625,RS,Rio Grande Do Sul,4,Sul
1996,50,269,MS,Mato Grosso Do Sul,5,Centro Oeste
1996,51,240,MT,Mato Grosso,5,Centro Oeste
1996,52,370,GO,Goiás,5,Centro Oeste
1996,53,329,DF,Distrito Federal,5,Centro Oeste
1997,11,68,RO,Rondônia,1,Norte
1997,12,10,AC,Acre,1,Norte
1997,13,167,AM,Amazonas,1,Norte
1997,14,15,RR,Roraima,1,Norte
1997,15,240,PA,Pará,1,Norte
1997,16,29,AP,Amapá,1,Norte
1997,17,32,TO,Tocantins,1,Norte
1997,21,194,MA,Maranhão,2,Nordeste
1997,22,93,PI,Piauí,2,Nordeste
1997,23,360,CE,Ceará,2,Nordeste
1997,24,132,RN,Rio Grande Do Norte,2,Nordeste
1997,25,146,PB,Paraíba,2,Nordeste
1997,26,581,PE,Pernambuco,2,Nordeste
1997,27,134,AL,Alagoas,2,Nordeste
1997,28,103,SE,Sergipe,2,Nordeste
